state_constituency_id,state_constituency_name,state_id,lga_id
SC_347_EN,Awgu North,ST_EN,LGA_EN_AWGU
SC_348_EN,Awgu South,ST_EN,LGA_EN_AWGU
SC_349_EN,Enugu East I,ST_EN,LGA_EN_ENUGU_EAST
SC_350_EN,Enugu East II,ST_EN,LGA_EN_ENUGU_EAST
SC_351_EN,Enugu North,ST_EN,LGA_EN_ENUGU_NORTH
SC_352_EN,Enugu South I,ST_EN,LGA_EN_ENUGU_SOUTH
SC_353_EN,Enugu South II,ST_EN,LGA_EN_ENUGU_SOUTH
SC_354_EN,Ezeagu,ST_EN,LGA_EN_EZEAGU
SC_355_EN,Igbo-Etiti East,ST_EN,LGA_EN_IGBO_ETITI
SC_356_EN,Igbo-Etiti West,ST_EN,LGA_EN_IGBO_ETITI
SC_357_EN,Igbo-Eze North I,ST_EN,LGA_EN_IGBO_EZE_NORTH
SC_358_EN,Igbo-Eze North II,ST_EN,LGA_EN_IGBO_EZE_NORTH
SC_359_EN,Igbo-Eze South,ST_EN,LGA_EN_IGBO_EZE_SOUTH
SC_360_EN,Isi-Uzo,ST_EN,LGA_EN_ISI_UZO
SC_361_EN,Nkanu East,ST_EN,LGA_EN_NKANU_EAST
SC_362_EN,Nkanu West,ST_EN,LGA_EN_NKANU_WEST
SC_363_EN,Nsukka East,ST_EN,LGA_EN_NSUKKA
SC_364_EN,Nsukka West,ST_EN,LGA_EN_NSUKKA
SC_365_EN,Oji River,ST_EN,LGA_EN_OJI_RIVER
SC_366_EN,Udenu,ST_EN,LGA_EN_UDENU
SC_367_EN,Udi North,ST_EN,LGA_EN_UDI
SC_368_EN,Udi South,ST_EN,LGA_EN_UDI
SC_369_EN,Uzo Uwani,ST_EN,LGA_EN_UZO_UWANI
SC_370_GM,Akko West,ST_GO,LGA_GO_AKKO
SC_371_GM,Akko Central,ST_GO,LGA_GO_AKKO
SC_372_GM,Akko North,ST_GO,LGA_GO_AKKO
SC_373_GM,Balanga North,ST_GO,LGA_GO_BALANGA
SC_374_GM,Balanga South,ST_GO,LGA_GO_BALANGA
SC_375_GM,Billiri East,ST_GO,LGA_GO_BILLIRI
SC_377_GM,Dukku North,ST_GO,LGA_GO_DUKKU
SC_378_GM,Dukku South,ST_GO,LGA_GO_DUKKU
